sistema;codigo;reservatorio;res_latitude;res_longitude;municipio;codigo_municipio_ibge;estado_nome;estado_sigla;rio;sub_bacia;bacia
nordeste_semiarido;12403;SANTO ANTÔNIO DE ARACATIAÇU;-3,88244300000000;-40,0133730000000;SOBRAL;2312908;Ceará;CE;RIO ARACATIAÇU;LITORAL;LITORAL
nordeste_semiarido;12404;SANTO ANTÔNIO DE RUSSAS;-4,85201800000000;-38,1662440000000;RUSSAS;2311801;Ceará;CE;RIO PALHANO;BAIXO JAGUARIBE;BAIXO JAGUARIBE
nordeste_semiarido;12405;SÃO DOMINGOS;-4,22069900000000;-39,2828170000000;CARIDADE;2303006;Ceará;CE;RIACHO GRAVATÁ;CURU;CURU
nordeste_semiarido;12406;SÃO DOMINGOS;-7,62811200000000;-36,4448180000000;SÃO DOMINGOS CARIRI;2513943;Paraíba;PB;RIACHO DO NAMBI;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12407;SÃO DOMINGOS II;-7,02935400000000;-39,2830100000000;CARIRIAÇU;2303204;Ceará;CE;RIACHO SÃO DOMINGOS;SALGADO;SALGADO
nordeste_semiarido;12408;SÃO FRANCISCO II;-7,24617600000000;-37,2063050000000;TEIXEIRA;2516706;Paraíba;PB;RIACHO DAS MOÇAS;ESPINHARAS;ESPINHARAS
nordeste_semiarido;12409;SÃO GONÇALO;-6,84536600000000;-38,3115950000000;SOUSA;2516201;Paraíba;PB;RIO PIRANHAS;ALTO PIRANHAS;ALTO PIRANHAS
nordeste_semiarido;12410;SÃO JOSÉ DA TAPERA;-9,59427100000000;-37,3792970000000;SÃO JOSÉ DA TAPERA;2708402;Alagoas;AL;RIACHO DO URUBU;SÃO FRANCISCO;SÃO FRANCISCO
nordeste_semiarido;12411;SÃO JOSÉ DO JACUÍPE;-11,52396600000000;-40,0448530000000;S. JOSÉ DO JACUIPE;2929370;Bahia;BA;RIO JACUÍPE;PARAGUAÇU;PARAGUAÇU
nordeste_semiarido;12412;SÃO JOSÉ I;-5,19504800000000;-39,6013380000000;BOA VIAGEM;2302404;Ceará;CE;RIACHO TAPERA;MÉDIO PIRANHAS;MÉDIO PIRANHAS
nordeste_semiarido;12413;SÃO JOSÉ I;-7,12590300000000;-38,4984930000000;SÃO JOSÉ DE PIRANHAS;2514503;Paraíba;PB;RIACHO DOS PATOS;ALTO PIRANHAS;ALTO PIRANHAS
nordeste_semiarido;12414;SÃO JOSÉ II;-7,88448700000000;-37,0673950000000;MONTEIRO;2509701;Paraíba;PB;RIACHO SÃO GONÇALO;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12415;SÃO JOSÉ II;-5,83704500000000;-39,4784800000000;PIQUET CARNEIRO;2310902;Ceará;CE;RIACHO MULUNGU;BANABUIÚ;BANABUIÚ
nordeste_semiarido;12416;SÃO JOSE II;-7,47680000000000;-37,2947000000000;SÃO JOSE DO EGITO;2613602;Pernambuco;PE;RIACHO DE BARRO BRANCO;PAJEÚ;PAJEÚ
nordeste_semiarido;12417;SÃO JOSÉ III;-7,38335300000000;-36,8042510000000;SÃO JOSÉ DOS CORDEIROS;2514800;Paraíba;PB;RIACHO SÃO JOSÉ;PARNAÍBA;PARNAÍBA
nordeste_semiarido;12418;SÃO JOSÉ III;-4,89698500000000;-40,7701180000000;IPAPORANGA;2305654;Ceará;CE;RIACHO SÃO GONÇALO;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12419;SÃO JOSÉ IV;-6,78597300000000;-36,7872290000000;SÃO JOSÉ DO SABUGI;2514701;Paraíba;PB;RIO SÃO JOSÉ;SERIDÓ;SERIDÓ
nordeste_semiarido;12420;SÃO MAMEDE;-6,93020500000000;-37,0724650000000;SÃO MAMEDE;2514909;Paraíba;PB;RIO SABUGI/RIACHO SERRA BRANCA;SERIDÓ;SERIDÓ
nordeste_semiarido;12421;SÃO MATEUS;-4,37058400000000;-39,3157030000000;CANINDÉ;2302800;Ceará;CE;RIO CANINDÉ;CANINDÉ;CANINDÉ
nordeste_semiarido;12422;SÃO PAULO;-7,64883600000000;-37,0772040000000;PRATA;2512200;Paraíba;PB;RIACHO DA ACAUÃ;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12423;SÃO PEDRO TIMBAÚBA;-3,57159000000000;-39,9741480000000;MIRAIMA;2308377;Ceará;CE;RIO ARACATIAÇU;LITORAL;LITORAL
nordeste_semiarido;12424;SÃO SALVADOR;-7,08423900000000;-35,1899900000000;SAPÉ;2515302;Paraíba;PB;RIACHO SÃO SALVADOR;BAIXO PARAÍBA;BAIXO PARAÍBA
nordeste_semiarido;12425;SÃO SEBASTIÃO;-7,05075400000000;-35,8553800000000;SÃO SEB.LAGOA ROÇA;2515104;Paraíba;PB;SEM RIO - SÃO SEBASTIÃO;MAMANGUAPE;MAMANGUAPE
nordeste_semiarido;12426;SÃO VICENTE;-3,39707500000000;-40,2634310000000;SANTANA DO ACARAÚ;2312007;Ceará;CE;RIO SÃO VICENTE;ACARAÚ;ACARAÚ
nordeste_semiarido;12427;SERAFIM DIAS;-5,72829900000000;-39,6474620000000;MOMBAÇA;2308500;Ceará;CE;RIO BANABUIÚ;BANABUIÚ;BANABUIÚ
nordeste_semiarido;12428;SERRA BRANCA I;-7,47436000000000;-36,6611990000000;SERRA BRANCA;2515500;Paraíba;PB;SEM RIO - SERRA BRANCA I;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12429;SERRA BRANCA II;-7,48103300000000;-36,6850430000000;SERRA BRANCA;2515500;Paraíba;PB;RIACHO JATOBÁ;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12430;SERRA VERMELHA I;-7,54549500000000;-38,5214220000000;CONCEIÇÃO;2504405;Paraíba;PB;RIO SERRA VERMELHA;PIANCÓ;PIANCÓ
nordeste_semiarido;12431;SERRINHA II;-8,20771100000000;-38,5324170000000;SERRA TALHADA;2613909;Pernambuco;PE;RIO PAJEÚ;PAJEÚ;PAJEÚ
nordeste_semiarido;12432;SERRINHA/SERRARIA;-7,31790400000000;-37,3042760000000;BREJINHO;2602506;Pernambuco;PE;RIACHO;PAJEÚ;PAJEÚ
